,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,symbol
0,560070.SH,央企股东回报ETF,汇添富基金,中国建设银行,股票型,20230524,,20230606,20230515,,20.0006,0.5,0.1,,1.0,0.1,,中证国新央企股东回报指数收益率,I,被动指数型,契约型开放式,,20230606,20230606,E,560070.SH#FD
1,561960.SH,央企回报ETF,招商基金,中信建投证券,股票型,20230524,,20230606,20230515,,19.9999,0.5,0.1,,1.0,0.1,,中证国新央企股东回报指数收益率,I,被动指数型,契约型开放式,,20230606,20230606,E,561960.SH#FD
2,560700.SH,央企红利50ETF,广发基金,中国工商银行,股票型,20230524,,20230606,20230515,,20.0004,0.5,0.05,,1.0,0.1,,中证国新央企股东回报指数收益率,I,被动指数型,契约型开放式,,20230606,20230606,E,560700.SH#FD
3,562930.SH,N软件30ETF,易方达基金,兴业银行,股票型,20230522,,20230605,20230504,,2.9644,0.5,0.1,,1.0,0.1,,中证软件服务指数收益率,I,被动指数型,契约型开放式,,20230605,20230605,E,562930.SH#FD
4,561580.SH,央企红利ETF,华泰柏瑞基金,中信证券,股票型,20230518,,20230530,20230504,,19.9987,0.5,0.1,,1.0,0.1,,中证中央企业红利指数收益率,L,被动指数型,契约型开放式,,20230530,20230530,E,561580.SH#FD
5,560330.SH,沪深300价值ETF申万菱信,申万菱信基金,中国工商银行,股票型,20230511,,20230523,20230421,,2.7913,0.5,0.1,,1.0,0.1,,沪深300价值指数收益率,L,被动指数型,契约型开放式,,20230523,20230523,E,560330.SH#FD
6,159692.SZ,证券ETF东财,西藏东财基金,国信证券,股票型,20230505,,20230523,20230417,,3.9746,0.5,0.05,,1.0,0.1,,中证证券公司30指数收益率,L,被动指数型,契约型开放式,,20230523,20230523,E,159692.SZ#FD
7,560580.SH,电力ETF指数基金,南方基金,中国邮政储蓄银行,股票型,20230427,,20230512,20230418,,2.78,0.5,0.1,,1.0,0.1,,中证全指电力公用事业指数收益率,L,被动指数型,契约型开放式,,20230512,20230512,E,560580.SH#FD
8,159695.SZ,通信ETF,嘉实基金,中信建投证券,股票型,20230427,,20230510,20230417,,4.2281,0.5,0.1,,1.0,0.1,,国证通信指数收益率,L,被动指数型,契约型开放式,,20230510,20230510,E,159695.SZ#FD
9,159622.SZ,创新药ETF沪港深,西藏东财基金,广发证券,股票型,20230421,,20230509,20230327,,2.996,0.5,0.05,,1.0,0.1,,中证沪港深创新药产业指数收益率,L,被动指数型,契约型开放式,,20230509,20230509,E,159622.SZ#FD
10,513950.SH,恒生红利ETF,富国基金,中国银行,股票型,20230419,,20230428,20230403,,2.6512,0.5,0.1,,1.0,0.1,,恒生港股通高股息低波动指数,L,被动指数型,契约型开放式,,20230428,20230428,E,513950.SH#FD
11,513390.SH,纳斯达克指数ETF,博时基金,中信银行,股票型,20230419,,20230508,20230410,,2.7338,0.5,0.15,,1.0,0.1,,纳斯达克100指数收益率(经估值汇率调整),L,被动指数型,契约型开放式,,20230508,20230508,E,513390.SH#FD
12,159697.SZ,油气ETF,鹏华基金,海通证券,股票型,20230417,,20230504,20230403,,6.1802,0.5,0.1,,1.0,0.1,,国证石油天然气指数收益率,L,被动指数型,契约型开放式,,20230504,20230504,E,159697.SZ#FD
13,159670.SZ,消费ETF基金,国联安基金,兴业银行,股票型,20230414,,20230509,20230324,,2.1971,0.5,0.1,,1.0,0.1,,中证消费50指数收益率,L,被动指数型,契约型开放式,,20230509,20230509,E,159670.SZ#FD
14,560180.SH,ESG300ETF,南方基金,中国邮政储蓄银行,股票型,20230413,,20230421,20230323,,5.181,0.5,0.1,,1.0,0.1,,沪深300ESG基准指数,L,被动指数型,契约型开放式,,20230421,20230421,E,560180.SH#FD
15,513970.SH,恒生消费ETF,景顺长城基金,兴业银行,股票型,20230412,,20230421,20230327,,6.4704,0.5,0.15,,1.0,0.1,,恒生消费指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20230421,20230421,E,513970.SH#FD
16,159659.SZ,纳斯达克100ETF,招商基金,中国银行,股票型,20230412,,20230425,20230209,,2.3974,0.5,0.15,,1.0,0.1,,纳斯达克100指数收益率(经汇率调整后),L,被动指数型,契约型开放式,,20230425,20230425,E,159659.SZ#FD
17,501312.SH,海外科技LOF,华宝基金,中国建设银行,股票型,20230411,,20230425,20230316,,2.9063,1.0,0.2,,1.0,0.001,,经人民币汇率调整的纳斯达克100指数收益率*80%+恒生科技指数收益率*10%+中证综合债指数收益率*10%,L,股票型,契约型开放式,,20230425,20230425,E,501312.SH#FD
18,562330.SH,中证500价值ETF,银华基金,招商银行,股票型,20230407,,20230418,20230327,,5.8502,0.5,0.1,,1.0,0.1,,中证500价值指数收益率,L,被动指数型,契约型开放式,,20230418,20230418,E,562330.SH#FD
19,562960.SH,绿色电力ETF,易方达基金,中信建投证券,股票型,20230403,,20230412,20230320,,2.3689,0.5,0.1,,1.0,0.1,,中证绿色电力指数收益率,L,被动指数型,契约型开放式,,20230412,20230412,E,562960.SH#FD
20,159660.SZ,纳指100ETF,汇添富基金,中国建设银行,股票型,20230330,,20230417,20230131,,2.4415,0.5,0.15,,1.0,0.1,,经人民币汇率调整的纳斯达克100指数收益率,L,被动指数型,契约型开放式,,20230417,20230417,E,159660.SZ#FD
21,159691.SZ,高股息ETF港股,工银瑞信基金,广发证券,股票型,20230330,,20230421,20230313,,5.663,0.45,0.07,,1.0,0.1,,经汇率调整后的中证港股通高股息精选指数收益率,L,被动指数型,契约型开放式,,20230421,20230421,E,159691.SZ#FD
22,501225.SH,全球芯片LOF,景顺长城基金,招商银行,股票型,20230330,,20230414,20230223,,3.5141,1.2,0.25,,1.0,0.0001,,费城半导体指数收益率(PHLX Semiconductor Sector Index)(使用估值汇率调整)*75%+中证芯片产业指数收益率*15%+人民币活期存款利率(税后)*10%,L,股票型,契约型开放式,,20230414,20230414,E,501225.SH#FD
23,561950.SH,500指数增强ETF,招商基金,安信证券,股票型,20230329,,20230424,20230320,,3.7666,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,增强指数型,契约型开放式,,20230424,20230424,E,561950.SH#FD
24,513650.SH,标普500ETF基金,南方基金,招商银行,股票型,20230323,,20230404,20230130,,4.2073,0.6,0.15,,1.0,0.1,,标普500指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20230404,20230404,E,513650.SH#FD
25,159672.SZ,主要消费ETF,博时基金,平安银行,股票型,20230323,,20230403,20230313,,3.7989,0.5,0.1,,1.0,0.1,,中证主要消费指数收益率,L,被动指数型,契约型开放式,,20230403,20230403,E,159672.SZ#FD
26,159676.SZ,创业板ETF增强,富国基金,招商银行,股票型,20230323,,20230412,20230313,,13.7656,0.7,0.1,,1.0,0.1,,创业板指数收益率,L,增强指数型,契约型开放式,,20230412,20230412,E,159676.SZ#FD
27,508096.SH,中航京能光伏REIT,中航基金,华夏银行,REITs,20230320,,20230329,20230314,,3.0,0.335,0.01,20.0,1.0,1.0,,,L,,契约型封闭式,,,,E,508096.SH#FD
28,508028.SH,中信建投国家电投新能源REIT,中信建投基金,中国工商银行,REITs,20230320,,20230329,20230314,,8.0,0.2,0.01,21.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508028.SH#FD
29,561920.SH,疫苗龙头ETF,招商基金,中国银河,股票型,20230315,,20230329,20230220,,3.0869,0.5,0.1,,1.0,0.1,,中证疫苗与生物技术指数收益率,L,被动指数型,契约型开放式,,20230329,20230329,E,561920.SH#FD
30,159685.SZ,1000增强ETF天弘,天弘基金,光大证券,股票型,20230315,,20230403,20230306,,2.8144,0.5,0.1,,1.0,0.1,,中证1000指数收益率,L,增强指数型,契约型开放式,,20230403,20230403,E,159685.SZ#FD
31,562550.SH,绿电ETF,华夏基金,中信银行,股票型,20230307,,20230327,20230220,,5.2642,0.5,0.1,,1.0,0.1,,中证绿色电力指数收益率,L,被动指数型,契约型开放式,,20230327,20230327,E,562550.SH#FD
32,159653.SZ,ESG300ETF,国联安基金,上海银行,股票型,20230306,,20230324,20230117,,2.3297,0.5,0.06,,1.0,0.1,,国证ESG300指数收益率,L,被动指数型,契约型开放式,,20230324,20230324,E,159653.SZ#FD
33,159689.SZ,中证消费ETF,南方基金,招商银行,股票型,20230303,,20230313,20230227,,3.8215,0.5,0.1,,1.0,0.1,,中证主要消费指数收益率,L,被动指数型,契约型开放式,,20230313,20230313,E,159689.SZ#FD
34,561170.SH,绿电50ETF,富国基金,中国民生银行,股票型,20230302,,20230316,20230213,,17.1553,0.5,0.1,,1.0,0.1,,中证绿色电力指数收益率,L,被动指数型,契约型开放式,,20230316,20230316,E,561170.SH#FD
35,513110.SH,纳斯达克100ETF,华泰柏瑞基金,交通银行,股票型,20230301,,20230320,20230215,,5.7144,0.8,0.2,,1.0,0.1,,纳斯达克100指数收益率(使用估值汇率折算),L,被动指数型,契约型开放式,,20230320,20230320,E,513110.SH#FD
36,560090.SH,证券指数ETF,汇添富基金,中信建投证券,股票型,20230227,,20230315,20230213,,8.7487,0.5,0.1,,1.0,0.1,,中证全指证券公司指数收益率,L,被动指数型,契约型开放式,,20230315,20230315,E,560090.SH#FD
37,560860.SH,工业有色ETF,万家基金,中国建设银行,股票型,20230222,,20230313,20230213,,13.1523,0.5,0.1,,1.0,0.1,,中证工业有色金属主题指数收益率,L,被动指数型,契约型开放式,,20230313,20230313,E,560860.SH#FD
38,159657.SZ,生物疫苗ETF,鹏华基金,华泰证券,股票型,20230222,,20230313,20230116,,8.0251,0.5,0.1,,1.0,0.1,,国证疫苗与生物科技指数收益率,L,被动指数型,契约型开放式,,20230313,20230313,E,159657.SZ#FD
39,563030.SH,中证500ETF增强,易方达基金,招商证券,股票型,20230217,,20230313,20230201,,11.4267,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,增强指数型,契约型开放式,,20230313,20230313,E,563030.SH#FD
40,159671.SZ,稀有金属ETF基金,工银瑞信基金,华泰证券,股票型,20230217,,20230310,20230206,,18.3505,0.45,0.07,,1.0,0.1,,中证稀有金属主题指数收益率,L,被动指数型,契约型开放式,,20230310,20230310,E,159671.SZ#FD
41,562860.SH,疫苗ETF,嘉实基金,中国工商银行,股票型,20230216,,20230224,20230206,,18.2489,0.5,0.1,,1.0,0.1,,中证疫苗与生物技术指数收益率,L,被动指数型,契约型开放式,,20230224,20230224,E,562860.SH#FD
42,159678.SZ,中证500增强ETF,博时基金,华泰证券,股票型,20230213,,20230227,20230206,,4.8764,0.5,0.1,,1.0,0.1,,中证500指数收益率,L,增强指数型,契约型开放式,,20230227,20230227,E,159678.SZ#FD
43,159679.SZ,中证1000增强ETF,国泰基金,海通证券,股票型,20230209,,20230222,20230206,,14.5809,1.0,0.1,,1.0,0.1,,中证1000指数收益率,L,增强指数型,契约型开放式,,20230222,20230222,E,159679.SZ#FD
44,513560.SH,香港科技ETF,兴银基金,兴业银行,股票型,20230131,,20230213,20221021,,4.4939,0.5,0.1,,1.0,0.1,,中证港股通科技指数收益率,L,被动指数型,契约型开放式,,20230213,20230213,E,513560.SH#FD
45,159688.SZ,恒生互联网ETF,华安基金,招商银行,股票型,20230117,,20230215,20230103,,6.8378,0.5,0.15,,1.0,0.1,,恒生互联网科技业指数收益率(经汇率调整),L,被动指数型,契约型开放式,,20230215,20230215,E,159688.SZ#FD
46,159652.SZ,有色50ETF,汇添富基金,中国工商银行,股票型,20230116,,20230208,20221222,,11.3832,0.5,0.1,,1.0,0.1,,中证细分有色金属产业主题指数收益率,L,被动指数型,契约型开放式,,20230208,20230208,E,159652.SZ#FD
47,159666.SZ,交通运输ETF,华夏基金,恒丰银行,股票型,20230113,,20230213,20230103,,9.0983,0.5,0.1,,1.0,0.1,,中证全指运输指数收益率,L,被动指数型,契约型开放式,,20230213,20230213,E,159666.SZ#FD
48,508098.SH,嘉实京东仓储基础设施REIT,嘉实基金,中信银行,REITs,20230111,,20230208,20230105,,5.0,0.2,0.01,46.0,1.0,0.1,,,L,,契约型封闭式,,,,E,508098.SH#FD
49,159669.SZ,绿电ETF,国泰基金,中国邮政储蓄银行,股票型,20221229,,20230111,20221219,,2.3875,0.5,0.1,,1.0,0.1,,国证绿色电力指数收益率,L,被动指数型,契约型开放式,,20230111,20230111,E,159669.SZ#FD
50,159683.SZ,运输ETF,嘉实基金,中国银行,股票型,20221229,,20230109,20221219,,4.2912,0.5,0.1,,1.0,0.1,,中证内地运输主题指数收益率,L,被动指数型,契约型开放式,,20230109,20230109,E,159683.SZ#FD
