,ts_code,name,market,publisher,category,base_date,base_point,list_date,symbol
0,801011.SI,林业Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801011.SI#I
1,801012.SI,农产品加工(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801012.SI#I
2,801013.SI,农业综合Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801013.SI#I
3,801014.SI,饲料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801014.SI#I
4,801015.SI,渔业(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801015.SI#I
5,801016.SI,种植业(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801016.SI#I
6,801017.SI,畜禽养殖Ⅱ(申万),SW,申万研究,二级行业指数,20111010,1000.0,,801017.SI#I
7,801018.SI,动物保健Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801018.SI#I
8,801021.SI,煤炭开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801021.SI#I
9,801022.SI,其他采掘Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801022.SI#I
10,801023.SI,石油开采Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801023.SI#I
11,801024.SI,采掘服务Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801024.SI#I
12,801031.SI,化工新材料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801031.SI#I
13,801032.SI,化学纤维(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801032.SI#I
14,801033.SI,化学原料(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801033.SI#I
15,801034.SI,化学制品(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801034.SI#I
16,801035.SI,石油化工(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801035.SI#I
17,801036.SI,塑料Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801036.SI#I
18,801037.SI,橡胶(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801037.SI#I
19,801041.SI,钢铁Ⅱ(申万),SW,申万研究,二级行业指数,19991230,1000.0,,801041.SI#I
